filename,title,author,subject,creator,creationYear,overall_summary,methodology,future_recommendations
"2019., Chaobo Zhang, An improved association rule mining-based method for revealing operational problems of building heating, ventilation and air conditioning (HVAC) systems.pdf","An improved association rule mining-based method for revealing operational problems of building heating, ventilation and air conditioning (HVAC) systems",Chaobo Zhang,"Applied Energy, 253 (2019) 113492. doi:10.1016/j.apenergy.2019.113492",Elsevier,2019,"The paper proposes an improved association rule mining-based method to reveal operational problems in building heating, ventilation, and air conditioning (HVAC) systems. The approach uses kernel density estimation-based data transformation and association rule comparison-based post-mining to identify abnormal rules revealing issues like faulty sensors and inefficient energy distribution.","The methodology involves kernel density estimation for outlier identification and data transformation into categorical data through classification, category fusion, and transformation steps. Association rule mining is used to discover relationships between variables using algorithms like FP-growth. The approach also includes a post-mining step to analyze association rules with thresholds set for support, confidence, and lift.","Future work could include applying the proposed method to other energy systems, such as solar radiation forecasting or wind farm performance analysis. Additionally, exploring the use of data-driven methodologies in wastewater treatment plants or electric vehicle charging demand characterization could be beneficial."
A_Reversible_Residual_Network-Aided_Canonical_Correlation_Analysis_to_Fault_Detection_and_Diagnosis_in_Electrical_Drive_Systems.pdf,A Reversible Residual Network-Aided Canonical Correlation Analysis to Fault Detection and Diagnosis in Electrical Drive Systems,,IEEE Transactions on Instrumentation and Measurement;2024;73; ;10.1109/TIM.2023.3348900,LaTeX with hyperref,2024,"A novel approach to fault detection and diagnosis in electrical drive systems using a reversible residual network-aided canonical correlation analysis (RRNCCA) is proposed. The method reformulates the objective function of CCA and applies it for fault diagnosis, showing improved performance over traditional linear methods.","The RRNCCA-based FDD method uses a reversible loop to extract correlation between nonlinear variables and is designed to improve the fault detection ability of test statistics. Offline training involves loading data, defining neural network parameters, constructing the network, obtaining optimal weights, generating residual signals, calculating threshold, and declaring FDD. Online application includes reading online signal, calculating four residual signals in real-time, generating T? test statistics, declaring FD, diagnosing faults, and repeating if system is fault-free.","Future work could include exploring the application of RRNCCA to other complex systems, such as high-speed trains or power grids. Additionally, further research on improving the robustness of the method against noise and uncertainties in the data would be beneficial."
"Autonomous fault detection and diagnosis for permanent magnet synchronous motors using combined variational mode decomposition, the hilbert-huang transform, and a CNN.pdf","Autonomous fault detection and diagnosis for permanent magnet synchronous motors using combined variational mode decomposition, the Hilbert-Huang transform, and a convolutional neural network",Ma'd El-Dalahmeh,"Computers and Electrical Engineering, 110 (2023) 108894. doi:10.1016/j.compeleceng.2023.108894",Elsevier,2023,"The paper proposes a novel fault detection and diagnosis technique for permanent magnet synchronous motors (PMSMs) using built-in sensors. The method combines variational mode decomposition, Hilbert-Huang transform, and convolutional neural network to detect three types of faults: inter-turn short circuit, partial demagnetization, and static eccentricity. The proposed method achieves high accuracy in detecting and classifying faults under various operating conditions.","The methodology involves combining variational mode decomposition (VMD), Hilbert-Huang transform (HHT), and convolutional neural network (CNN) to detect and diagnose faults in PMSMs. The VMD process involves calculating the analytic function using Hilbert transform, demodulating each frequency mode spectrum, and taking the resultant signal's derivative and squared L2-norm.","Future work includes addressing potential issues like data degeneracy through diverse training data and validating the algorithm using performance metrics. Additionally, exploring other techniques for condition monitoring and fault diagnosis in PMSMs can lead to improved reliability, detection accuracy, reduced maintenance costs, increased safety, better decision-making, and optimised asset management."
Digital twin enabled FDD process for building HVAC systems.pdf,Digital twin enabled fault detection and diagnosis process for building HVAC systems,Xiang Xie,"Automation in Construction, 146 (2023) 104695. doi:10.1016/j.autcon.2022.104695",Elsevier,2022,"The paper proposes a digital twin-enabled fault detection and diagnosis process for building HVAC systems using symbolic artificial intelligence to identify informative sensory dimensions for building-specific faults and define machine-readable fault tags to label corresponding sensor entities. The approach leverages semantics in BIM models, graph-based semantic web, and domain-specific ontologies to reduce data complexity while preserving relevant information.","The methodology involves implementing a digital twin enabled FDD process using knowledge tags to label sensors and preserve ad-hoc temporal knowledge to customize data pipelines for FDD. The study uses Symbolic Aggregate approXimation (SAX) to select relevant sensory dimensions from labelled data, assuming a large number of sensors in HVAC systems generate massive amounts of data.","Future work includes exploring the application of digital twin technology in building energy management and fault detection, as well as integrating energy management tools with digital twins for smart energy systems. Additionally, the concept of the semantic web is introduced, as well as a combined data-driven and model-based residual selection algorithm for fault detection and isolation."
Improving the efficiency of fan coil units in hotel buildings through deep-learning-based fault detection.pdf,Improving the Efficiency of Fan Coil Units in Hotel Buildings through Deep-Learning-Based Fault Detection,"Iva Matetić, Ivan Štajduhar, Igor Wolf, and Sandi Ljubic","Optimizing the performance of heating, ventilation, and air-conditioning (HVAC) systems is critical in today's energy-conscious world. Fan coil units (FCUs) play a critical role in providing comfort in various environments as an important component of HVAC systems. However, FCUs often experience failures that affect their efficiency and increase their energy consumption. In this context, deep learning (DL)-based fault detection offers a promising solution. By detecting faults early and preventing system failures, the efficiency of FCUs can be improved. This paper explores DL models as fault detectors for FCUs to enable smarter and more energy-efficient hotel buildings. We tested three contemporary DL modeling approaches: convolutional neural network (CNN), long short-term memory network (LSTM), and a combination of CNN and gated recurrent unit (GRU). The random forest model (RF) was additionally developed as a baseline benchmark. The fault detectors were tested on a real-world dataset obtained from the sensory measurement system installed in a hotel and additionally supplemented with simulated data via a physical model developed in TRNSYS. Three representative FCU faults, namely, a stuck valve, a reduction in airflow, and an FCU outage, were simulated with a much larger dataset than is typically utilized in similar studies. The results showed that the hybrid model, integrating CNN and GRU, performed best for all three observed faults. DL-based fault detectors outperformed the baseline RF model, confirming these solutions as viable components for energy-efficient hotels.",LaTeX with hyperref,2023,"The paper discusses improving fan coil unit (FCU) efficiency in hotel buildings through deep-learning-based fault detection. Three DL models (CNN, LSTM, and CNN-GRU hybrid) were tested on a real-world dataset from a sensory measurement system and simulated data, outperforming a baseline random forest model for detecting three representative FCU faults: stuck valve, reduced airflow, and FCU outage.","The study used a dataset collected from a hotel in Zagreb, Croatia, utilizing a smart-room system for monitoring and regulation. The data was acquired from 2015 to 2021 with a sampling frequency of 5 minutes, focusing on years 2017-2019 due to higher quality and representativeness. The physical model was developed using TRNSYS software and a corresponding hotel building architectural description, simulating thermal behavior in six zones.","The authors suggest that future work could focus on expanding the dataset to include more diverse FCU types and fault scenarios, as well as exploring the application of DL models to other HVAC sub-systems. Additionally, they recommend further research into the integration of DL models with traditional FDD methods for improved accuracy and robustness."
Fault detection and diagnosis for Air Handling Unit based on multiscale convolutional neural networks.pdf,Fault detection and diagnosis for Air Handling Unit based on multiscale convolutional neural networks,Fanyong Cheng,"Energy & Buildings, 236 (2021) 110795. doi:10.1016/j.enbuild.2021.110795",Elsevier,2021,"The paper proposes a novel fault detection and diagnosis (FDD) method using multiscale convolutional neural networks (MCNNs) for Air Handling Unit (AHU) systems. The MCNNs-based FDD method uses three different scale kernels to improve feature extraction and end-to-end learning strategy optimizes the model. The proposed method is evaluated on an air handling unit experiment platform with a total dataset of 6048 data segments, including samples from normal operating conditions and four fault scenarios. The results show that the MCNNs method achieves the best overall performance with an F1-score of 0.989 or higher for all kinds of faults, outperforming other methods.","The proposed MCNNs-based FDD method uses a multi-scale convolutional neural network (MCNNs) model to automatically learn high-level discriminative features from multiscale monitoring signals, improving fault diagnosis performance. The model consists of three subparts: input, multiscale feature extraction, and classification. The input is an 8x8 matrix representing 8 monitoring signals with a length of 8 samples each. The model uses convolutional layers with hyperparameters such as kernel size, number of kernels, padding, and stride to extract features from the input data.","The scalability of the proposed MCNNs method will be verified on imbalanced data distribution to mitigate the impact of skewed data between normal and fault data, aiming to improve its general performance."
Novel Actuator Fault Diagnosis Framework for Multizone HVAC Systems Using 2-D Convolutional Neural Networks.pdf,Novel Actuator Fault Diagnosis Framework for Multizone HVAC Systems Using 2-D Convolutional Neural Networks,,IEEE Transactions on Automation Science and Engineering; ;PP;99;10.1109/TASE.2021.3067866,Appligent AppendPDF Pro 5.5,2021,"A novel fault diagnosis framework for multizone HVAC systems using 2D convolutional neural networks (CNNs) is proposed. The approach outperforms traditional methods in terms of accuracy, precision, and recall. The framework is tested through simulations and demonstrates improved performance with an average sensitivity of 99%. Future work includes considering multiple actuator faults, developing simultaneous sensor and actuator FD strategies, and conducting energy performance assessments to demonstrate the diagnosis approach's capability in improving system efficiency.","The proposed framework uses a multimodel approach composed of five two-class CNNs for fault detection and diagnosis. The 1-D-to-2-D data transformation technique is used to enable the use of a 2-D CNN-based diagnosis approach with 1-D signals. Bayesian optimization tunes network parameters, including filter size k and dilation factor fp, reducing the hyperparameter space for S.","Future work includes considering multiple actuator faults, developing simultaneous sensor and actuator FD strategies, and conducting energy performance assessments to demonstrate the diagnosis approach's capability in improving system efficiency."
A data-driven approach for FD in multi-zone HVAC systems Deep neural bilienar Koopman parity.pdf,A data-driven approach for fault diagnosis in multi-zone HVAC systems: Deep neural bilinear Koopman parity,Fatemeh Negar Irani,"Journal of Building Engineering, 76 (2023) 107127. doi:10.1016/j.jobe.2023.107127",Elsevier,2023,"The paper presents a novel data-driven approach for fault diagnosis in multi-zone HVAC systems using deep neural bilinear Koopman parity. The method diagnoses various types of sensor faults, including additive, multiplicative, and complete failure, without prior knowledge of HVAC dynamics or fault properties. The proposed method outperforms other models in terms of long-term prediction with lower dimension, while EDMD-based linear and deep linear models have limited precision and reliability.","The methodology involves integrating bilinear Koopman model realization, deep learning, and parity-space to detect and isolate various types of sensor faults. The proposed structure consists of a linear layer forming the Koopman operator and a lifting encoder that lifts states to a new basis, which can be trained synchronously.","Future work includes exploring the application of the proposed method to other HVAC systems, investigating the impact of different fault scenarios on the performance of the proposed method, and developing more advanced techniques for handling complex fault types."
"2021., Chaobo Zhang, Analytic hierarchy process-based fuzzy post mining method for operation anomaly detection of building energy systems.pdf",Analytic hierarchy process-based fuzzy post mining method for operation anomaly detection of building energy systems,Chaobo Zhang,"Energy & Buildings, 252 (2021) 111426. doi:10.1016/j.enbuild.2021.111426",Elsevier,2021,"A novel AHP-based fuzzy post mining method is proposed to detect operation anomalies in building energy systems and enhance energy efficiency. The method evaluates association rules using three criteria (stability, physical correlation, and statistical correlation) and six sub-criteria, successfully removing 95.45% of worthless rules and identifying 93.51% of valuable ones.","The proposed method uses a four-level hierarchical structure for association rule grading, with weights determined by expert pair-wise comparison matrices. The method also introduces fuzzy set theory into Analytic Hierarchy Process (AHP) to improve the reliability of value grading in association rule mining by considering uncertainties from imprecise judgments.","Future work includes enhancing the performance of isolating valuable association rules from worthless ones in building lighting systems, exploring new criteria for operation anomaly detection, and applying the proposed method to various types of building energy systems."
Fault Detection and Diagnosis in AHU System with Data Driven.pdf,Fault Detection and Diagnosis in AHU System with Data Driven Approaches,Yanis Masdoua; Moussa Boukhnifer; Kondo H. Adjallah,"2022 8th International Conference on Control, Decision and Information Technologies (CoDIT);2022;1; ;10.1109/CoDIT55151.2022.9803907",PaperCept Conference Management System,2022,"The paper presents a data-driven approach for detecting and diagnosing sensor faults in Air Handling Unit (AHU) systems using Decision Tree, Random Forest, and SVM algorithms. The research aims to reduce energy consumption by identifying temperature sensor faults with high accuracy, achieving 96% accuracy with the Random Forest method.","The paper uses a data-driven approach, specifically classification techniques using Decision Trees, Random Forest, and SVM algorithms. The methodology includes feature selection based on correlation with the objective of classification to maximize performance and reduce training time. Experimental results are presented using k-Fold cross-validation with k=10 to validate the model.","Future research plans to generalize fault detection and diagnosis in AHUs, considering various types of faults."
